discount_price,name,original_price,stock
132000.0,"Samsung Galaxy A13 - 6.6 (4GB RAM, 128GB ROM) Android 12 (50/5/2/2)MP + 8MP Selfie - 5000mAh - Dual Sim - 4G LTE - Blue",163500.0,Add to cart
220000.0,Oppo A96 - 6.59 8GB RAM/256GB ROM 5000mAh - Sunset Blue,238000.0,Add to cart
62900.0,"UMIDIGI C1 (2GB,32GB ROM) 6.52 HD+ 5150mAh Android Smartphone Unlocked (13MP+2MP)+13MP-Matte Silver",101765.0,Add to cart
68900.0,Blackview Oscal C60 32GB+4GB 4G Android11 6.528Inch  -Meteorite Black,119986.0,Add to cart
109600.0,"Samsung Galaxy Tab A7 Lite 8.0 32GB+3GB RAM, 5100mAh Battery - Grey",300000.0,Add to cart
55926.0,Blackview OSCAL C20Pro Smartphone  Face Unlock  2+32GB 3380mAh  -Black,108918.0,Add to cart
48690.0,"itel A58 Pro 6.6 HD+ Screen, 2GB RAM + 32GB ROM, 4000mAh Battery, Android11, Dual Camera, Fingerprint &amp; Face Unlock - Black",55000.0,Add to cart
128343.0,"UMIDIGI BISON X10 Pro (4GB,128GB) 6150mAh IP68/IP69K 6.53(20MP+8MP+5MP)+8MP NFC Infrared Thermometer Sensor Android 11-Yellow",175060.0,Add to cart
170900.0,"Nokia X20, 6.67 (8GB RAM, 128GB ROM) Android 11 (64/5/2/2)MP + 32PM Selfie - 5G - Dual SIM - 4470mAh - Nordic Blue",209000.0,Add to cart
899000.0,Samsung Galaxy S23 Ultra Dual SIM-12GB RAM -256GB -5G - Lavender,1000000.0,Add to cart
88500.0,Infinix HOT 20i- (X665E)- 64/4GB '6.6-13MP F1.8 Wide Aperture Triple Rear Camera 8MP AI Portrait Front Camera- 4G - Gold,99000.0,Add to cart
51900.0,FUNSNAP Capture2s Handheld Gimbal Stabilizer Free Magic Cube,68500.0,Add to cart
59900.0,Infinix Smart 6 6.6HD+ 2GB/32GB ROM Android 11- Midnight Black,70000.0,Add to cart
30999.0,itel A18 5.0 -32GBROM/1GBRAM-2400mAh Android11-Dual SIM - Blue,49000.0,Add to cart
115000.0,"Infinix Note 11, 4GB RAM + 128GB ROM,5000mAh, 4G - Black",126000.0,Add to cart
144990.0,"Tecno Camon 19 (CI6) 6.8 FHD+, 6GB RAM + 128GB ROM, 64MP Rear",180000.0,Add to cart
40990.0,Nokia C1 2nd Edition - 5.45'' - 16GB ROM - 1GB RAM - Dual Sim - 3G - Android 11 - 2500mAh,44990.0,Add to cart
61500.0,XIAOMI Redmi 9A 2G 32G MTK Helio G25 Octa Core,70000.0,Add to cart
84900.0,"UMIDIGI A11 (3GB,64GB ROM) Android 11,16MP+8MP+5MP)+8MP 5150mAh 6.53 Global Version - Frost Grey",148824.0,Add to cart
